,Mindtree_close_prices,Moving_avg_14,Std_dev_14,Upper_band,Lower_band
83,442.5,457.2107142857144,10.994914533744252,479.20054335320293,435.2208852182259
84,444.25,456.0214285714287,11.455981210461616,478.933390992352,433.10946615050545
85,462.55,455.6178571428573,11.08754684566829,477.7929508341939,433.4427634515207
86,465.05,454.69285714285735,9.503700840739508,473.70025882433634,435.68545546137835
87,472.95,454.75357142857155,9.62539638116003,474.0043641908916,435.5027786662515
88,473.45,455.5642857142858,10.708774773184869,476.98183526065554,434.14673616791606
89,464.3,455.8000000000001,10.872689851887081,477.5453797037743,434.05462029622595
90,462.5,455.91785714285726,10.940373484391003,477.7986041116393,434.0371101740752
91,464.2,456.58214285714297,11.154071473659497,478.89028580446194,434.273999909824
92,465.05,457.29285714285726,11.367325934495039,480.0275090118473,434.5582052738672
